Floor,Unit,Model,RMSE
1,1,ETS,53.189198440193806
1,1,ARIMA,52.50488462014432
1,1,SARIMA,54.64130304242503
1,1,RNN,47.60721681928786
1,1,LSTM,46.5753424436293
1,2,ETS,25.866145418419798
1,2,ARIMA,26.881023939943173
1,2,SARIMA,27.396794931453606
1,2,RNN,27.664275737726765
1,2,LSTM,28.73061015869822
1,3,ETS,18.048261103472996
1,3,ARIMA,17.689315281894224
1,3,SARIMA,17.370793622216908
1,3,RNN,19.857594515578004
1,3,LSTM,19.662372020282447
1,4,ETS,63.63882235397641
1,4,ARIMA,56.83091683087643
1,4,SARIMA,61.20760455462124
1,4,RNN,60.10605354931947
1,4,LSTM,62.30621451980596
1,5,ETS,39.61721204654847
1,5,ARIMA,37.623031477452955
1,5,SARIMA,45.73808329531286
1,5,RNN,42.2430425728451
1,5,LSTM,38.38434129036259
2,1,ETS,72.62422627529571
2,1,ARIMA,64.27691264824536
2,1,SARIMA,69.79626810000194
2,1,RNN,73.55956082487594
2,1,LSTM,71.17385866889772
2,2,ETS,26.09857798592818
2,2,ARIMA,24.241707604745244
2,2,SARIMA,26.13486845803396
2,2,RNN,25.323551296233738
2,2,LSTM,26.07059974832121
2,3,ETS,72.97039863479262
2,3,ARIMA,61.07659573740782
2,3,SARIMA,62.654440029805684
2,3,RNN,71.23880538695951
2,3,LSTM,67.58209690285378
2,4,ETS,53.41811878707282
2,4,ARIMA,51.551958441154234
2,4,SARIMA,53.29164704102776
2,4,RNN,56.9489269343379
2,4,LSTM,48.788027540661794
2,5,ETS,11.69050167534162
2,5,ARIMA,11.275538037240645
2,5,SARIMA,11.698095015682801
2,5,RNN,12.355504702545744
2,5,LSTM,12.560065425157784
3,1,ETS,90.35517785085494
3,1,ARIMA,76.5580534642248
3,1,SARIMA,78.38402675248376
3,1,RNN,74.34810389666467
3,1,LSTM,77.8275381396659
3,2,ETS,14.087203811462572
3,2,ARIMA,13.688048480461378
3,2,SARIMA,14.105862311316486
3,2,RNN,14.261568725094945
3,2,LSTM,13.1213550365212
3,3,ETS,33.08406722921351
3,3,ARIMA,32.9629852866717
3,3,SARIMA,33.14848937749556
3,3,RNN,34.53427221023232
3,3,LSTM,36.10891583200686
3,4,ETS,32.676651433263345
3,4,ARIMA,34.32949027913791
3,4,SARIMA,36.47866265141658
3,4,RNN,43.56676598704568
3,4,LSTM,37.36878615364396
3,5,ETS,41.21035593913222
3,5,ARIMA,40.63179046991879
3,5,SARIMA,41.91791620924858
3,5,RNN,42.868865858741295
3,5,LSTM,38.19241245455149
4,1,ETS,6.414399921188809
4,1,ARIMA,6.560903229220218
4,1,SARIMA,6.413113599995561
4,1,RNN,6.618759346522091
4,1,LSTM,6.508636193761711
4,2,ETS,27.53690593821059
4,2,ARIMA,26.65598749165108
4,2,SARIMA,27.84731702624269
4,2,RNN,27.484506549050636
4,2,LSTM,28.210148175898695
4,3,ETS,32.396779420245316
4,3,ARIMA,32.744603482779524
4,3,SARIMA,32.4219029331074
4,3,RNN,35.28493549861507
4,3,LSTM,32.73760994055051
4,4,ETS,11.194117628418624
4,4,ARIMA,11.424237373497075
4,4,SARIMA,11.14965445033746
4,4,RNN,13.553566484119846
4,4,LSTM,12.269629180161667
4,5,ETS,36.342981072916594
4,5,ARIMA,35.790226821227414
4,5,SARIMA,40.77357351102832
4,5,RNN,34.97135077517276
4,5,LSTM,34.2589614174058
5,1,ETS,21.42213585441331
5,1,ARIMA,19.835257754651227
5,1,SARIMA,21.700008676448988
5,1,RNN,18.647480516235873
5,1,LSTM,16.897934519016943
5,2,ETS,11.786805958868188
5,2,ARIMA,11.174807251086213
5,2,SARIMA,11.789143229825383
5,2,RNN,13.31898026819843
5,2,LSTM,13.13211291985319
5,3,ETS,36.61824406410979
5,3,ARIMA,36.263450003420964
5,3,SARIMA,36.532295277182506
5,3,RNN,36.51027283293664
5,3,LSTM,35.76377845620507
5,4,ETS,74.8001981308288
5,4,ARIMA,74.39519531038141
5,4,SARIMA,71.39894042339769
5,4,RNN,83.77696904401266
5,4,LSTM,77.74174972052707
5,5,ETS,11.34137782450897
5,5,ARIMA,11.131170043473817
5,5,SARIMA,12.121458120610695
5,5,RNN,10.84656455884214
5,5,LSTM,11.074266290293773
6,1,ETS,26.442045239955142
6,1,ARIMA,27.116250395958133
6,1,SARIMA,28.06367606205522
6,1,RNN,30.364614234130055
6,1,LSTM,27.420597756187863
6,2,ETS,6.590774616643993
6,2,ARIMA,6.782694628406137
6,2,SARIMA,6.534994055046545
6,2,RNN,6.273870753612593
6,2,LSTM,6.942754075370737
6,3,ETS,41.67816441755177
6,3,ARIMA,40.25675071462048
6,3,SARIMA,42.24262347528709
6,3,RNN,44.502913302833704
6,3,LSTM,42.75485335844219
6,4,ETS,39.622348154146856
6,4,ARIMA,39.576840087416045
6,4,SARIMA,38.94313999025508
6,4,RNN,42.21749577058626
6,4,LSTM,40.37858819902704
6,5,ETS,47.25161431910065
6,5,ARIMA,43.72226843577207
6,5,SARIMA,44.8940610392194
6,5,RNN,46.69495836141585
6,5,LSTM,40.78070389772161
7,1,ETS,30.473411273648583
7,1,ARIMA,29.259445490760466
7,1,SARIMA,30.188330424444146
7,1,RNN,27.483268489257476
7,1,LSTM,28.696649003093132
7,2,ETS,32.09298044267135
7,2,ARIMA,34.08785831021322
